Mês,Semana,Tema,ADS,Tipo
Jan 2026,S1,DNA VET: Retorno,Não,
Jan 2026,S1,Clube Laslo: TCI,Sim,
Jan 2026,S2,Insumos: Descartáveis,Sim,
Jan 2026,S2,Clube Laslo: Transformando compras em benefícios,Não,
Jan 2026,S3,Insumos: O perigo de descartáveis genéricos,Não,
Jan 2026,S3,Repost à escolher,Sim,
Jan 2026,S4,Conceito: Por que o DNA da Laslo é 100% VET?,Sim,
Jan 2026,S4,Bomba TCI: Protocolos VET de alto desempenho,Sim,
Fev 2026,S1,Clube Laslo: Vantagens exclusivas para clínicas,Não,
Fev 2026,S1,Insumos: Seringas Serisam de 20ml e 60ml,Sim,
Fev 2026,S2,Produtos: Todas as Bombas,Sim,
Fev 2026,S2,Bomba TCI: Diferença entre TIVA e TCI,Sim,
Fev 2026,S3,Dia Mundial do Gato (17/02): Precisão para felinos | Repost à escolher,Sim,
Fev 2026,S3,Antecipação: Faltam 20 dias para Animal Health 10/03,Sim,
Fev 2026,S4,Antecipação: Dia Internacional da Mulher VET,Sim,
Fev 2026,S4,— (semana de preparação),Não,
Mar 2026,S1,Insumos: Equipos fotoprotetores e cristal,Sim,
Mar 2026,S1,Mulher VET: Homenagem ao Dia da Mulher (08/03),Não,
Mar 2026,S2,Repost à escolher,Não,
Mar 2026,S2,Evento: Cobertura Animal Health 10–12/03 | Dia Nacional dos Animais (14/03),Sim,
Mar 2026,S3,Bomba TCI: A tecnologia que seu Pet merece,Sim,
Mar 2026,S3,Clube Laslo,Não,
Mar 2026,S4,Antecipação: Prevenção à Crueldade Animal,Sim,
Mar 2026,S4,— (semana de preparação),Não,
Abr 2026,S1,Abril Laranja — Prevenção contra Crueldade Animal,Não,
Abr 2026,S1,Insumos: Por que a precisão depende do equipo?,Não,
Abr 2026,S2,Bomba TCI,Não,
Abr 2026,S2,Carrossel de Insumos,Não,
Abr 2026,S3,Bombas: Comodato,Não,
Abr 2026,S3,Da Infusão à Anestesia - Insumos,Não,
Abr 2026,S4,Clube Laslo,Não,
Abr 2026,S4,Insumos: Lastovet,Não,
Mai 2026,S1,Clube Laslo: Como aderir ao programa de fidelidade,Não,
Mai 2026,S1,"Dia das Mães — As ""Pet Moms"" e a segurança animal",Não,
Mai 2026,S2,Dia do Zootecnista (13/05): Homenagem,Não,
Mai 2026,S2,Insumos: Diferencial das Seringas Serisam,Sim,
Mai 2026,S3,Comodato,Não,
Mai 2026,S3,Dia Nacional da Adoção (25/05): Apoio à causa,Não,
Mai 2026,S3,20/05 · Webinar D-7 — ICAVET: Salve a data! 27/05 às 20h,Sim,webinar
Mai 2026,S4,24/05 · Webinar D-3 — ICAVET: Inscrições abertas — link na bio,Sim,webinar
Mai 2026,S4,27/05 · Webinar — ICAVET: Hoje às 20h! 🔴 link na bio,Sim,webinar
Mai 2026,S4,ELASTOVET #1 — Carrossel: Apresentação do produto,Não,elastovet
Jun 2026,S1,Bombas: Todas,Não,
Jun 2026,S1,Insumos: Segurança garantida pela fábrica,Sim,
Jun 2026,S2,Bomba TCI: O futuro da anestesia veterinária,Sim,
Jun 2026,S2,ELASTOVET #2 — Reel: Como funciona a bomba elastomérica?,Não,elastovet
Jun 2026,S2,10/06 · Webinar ICAVET [D-20] — Story: Webinar em 20 dias! Sua bomba pode estar falhando?,Não,webinar
Jun 2026,S2,13/06 · Webinar ICAVET [D-17] — Story: Salve a data! 30/06 às 20h — inscrição gratuita,Não,webinar
Jun 2026,S3,Clube Laslo: Promoção relâmpago de insumos,Sim,
Jun 2026,S3,ELASTOVET #3 — Carrossel: Libere o leito (foco clínica),Não,elastovet
Jun 2026,S3,17/06 · Webinar ICAVET [D-13] — Story: Sua bomba pode estar falhando com pacientes críticos?,Não,webinar
Jun 2026,S3,20/06 · Webinar ICAVET [D-10] — Story: Faltam 10 dias — link na bio para se inscrever,Não,webinar
Jun 2026,S4,Insumos: Seringas e Equipos,Sim,
Jun 2026,S4,23/06 · Webinar ICAVET [D-7] — Feed: Salve a data! 30/06 às 20h — A falsa segurança da infusão,Sim,webinar
Jun 2026,S4,27/06 · Webinar ICAVET [D-3] — Feed: Inscrições abertas — faltam 3 dias. Link na bio.,Sim,webinar
Jun 2026,S5,"Conceito: ""De ouvidos ao seu Pet"" — Segurança Laslo",Sim,
Jun 2026,S5,30/06 · Webinar ICAVET [D-0] — Feed + Story: Hoje às 20h — ao vivo! 🔴 link na bio,Sim,webinar
Jul 2026,S1,Antecipação PET VET Expo (12–14/ago): Faltam ~35 dias — Presença Laslo confirmada,Sim,petvet
Jul 2026,S1,01/07 · Webinar Descartáveis [D-20] — Story: Webinar em 20 dias! Alarme de oclusão — 5 causas que ignoramos,Não,webinar
Jul 2026,S1,04/07 · Webinar Descartáveis [D-17] — Story: Salve a data! 21/07 às 20h — inscrição gratuita,Não,webinar
Jul 2026,S2,Antecipação PET VET Expo: Faltam 30 dias — O que esperar do estande Laslo?,Sim,petvet
Jul 2026,S2,Bomba TCI: Versatilidade em infusão de seringa,Sim,
Jul 2026,S2,08/07 · Webinar Descartáveis [D-13] — Story: O alarme de oclusão te acorda à noite? Faltam 13 dias,Não,webinar
Jul 2026,S2,11/07 · Webinar Descartáveis [D-10] — Story: Faltam 10 dias — link na bio para garantir sua vaga,Não,webinar
Jul 2026,S3,Clube Laslo: Benefícios,Não,
Jul 2026,S3,Insumos: Reposição de estoque para clínicas,Não,
Jul 2026,S3,ELASTOVET #3 — Carrossel: Libere o leito (foco clínica),Não,elastovet
Jul 2026,S3,14/07 · Webinar Descartáveis [D-7] — Feed: Salve a data! 21/07 às 20h — Alarme de oclusão,Sim,webinar
Jul 2026,S3,18/07 · Webinar Descartáveis [D-3] — Feed: Inscrições abertas — faltam 3 dias. Link na bio.,Sim,webinar
Jul 2026,S4,Dia do Vira-lata (31/07): Respeito à raça,Não,
Jul 2026,S4,Conceito: O DNA que entende o veterinário,Não,
Jul 2026,S4,21/07 · Webinar Descartáveis [D-0] — Feed + Story: Hoje às 20h — ao vivo! 🔴 link na bio,Sim,webinar
Ago 2026,S1,05/08 · Webinar BS680 [D-20] — Story: Webinar em 20 dias! TIVA para todos — anestesia de qualidade acessível,Não,webinar
Ago 2026,S1,PET VET Expo: Post Convite — Estande e localização [01/08],Sim,petvet
Ago 2026,S1,PET VET Expo: Falta 1 semana para o evento! [05/08],Sim,petvet
Ago 2026,S1,Dia Mundial do Gato (08/08): Tecnologia felina,Não,
Ago 2026,S1,Dia dos Pais (09/08 — Pet Dads): Cuidando de quem ama,Não,
Ago 2026,S2,08/08 · Webinar BS680 [D-17] — Story: Salve a data! 25/08 às 20h — TIVA acessível para qualquer clínica,Não,webinar
Ago 2026,S2,PET VET Expo: Começa amanhã — nos vemos lá! [11/08],Sim,petvet
Ago 2026,S2,12/08 · Webinar BS680 [D-13] — Story: Faltam 13 dias para o webinar BS680 (nos intervalos da feira!),Não,webinar
Ago 2026,S2,PET VET Expo: Dia 1 — ao vivo [12/08] (material avulso),Sim,petvet
Ago 2026,S2,PET VET Expo: Dia 2 — ao vivo [13/08] (material avulso),Sim,petvet
Ago 2026,S2,PET VET Expo: Dia 3 — ao vivo [14/08] (material avulso),Sim,petvet
Ago 2026,S3,15/08 · Webinar BS680 [D-10] — Story: Faltam 10 dias — link na bio para garantir sua vaga,Não,webinar
Ago 2026,S3,Insumos: Por que usar seringas de precisão?,Sim,
Ago 2026,S3,Bomba TCI: Redução de riscos cirúrgicos,Sim,
Ago 2026,S3,ELASTOVET (pós-feira): Conheça a bomba ELASTOvet,Sim,elastovet
Ago 2026,S3,18/08 · Webinar BS680 [D-7] — Feed: Salve a data! 25/08 às 20h — TIVA para todos,Sim,webinar
Ago 2026,S4,Dia Mundial do Cachorro (26/08): Segurança Laslo,Não,
Ago 2026,S4,Antecipação: Dia do Médico Veterinário — setembro,Sim,
Ago 2026,S4,ELASTOVET #4 — Reel: Depoimento Dr. Marco,Não,elastovet
Ago 2026,S4,22/08 · Webinar BS680 [D-3] — Feed: Inscrições abertas — faltam 3 dias. Link na bio.,Sim,webinar
Ago 2026,S4,25/08 · Webinar BS680 [D-0] — Feed + Story: Hoje às 20h — ao vivo! 🔴 link na bio,Sim,webinar
Set 2026,S1,Dia do Médico Veterinário (09/09): Nossa homenagem,Sim,
Set 2026,S1,Dia do Cliente (15/09): Foco Clube Laslo,Não,
Set 2026,S2,09/09 · Webinar Elastovet [D-20] — Story: Webinar em 20 dias! Pós-op domiciliar com infusão contínua,Não,webinar
Set 2026,S2,Insumos: Descartáveis,Sim,
Set 2026,S2,Bomba TCI: Alvo-controle para procedimentos longos,Sim,
Set 2026,S2,12/09 · Webinar Elastovet [D-17] — Story: Salve a data! 29/09 às 20h — o pós-op que libera o animal para casa,Não,webinar
Set 2026,S3,16/09 · Webinar Elastovet [D-13] — Story: Seu paciente precisa ficar internado só para infusão? Faltam 13 dias,Não,webinar
Set 2026,S3,Clube Laslo: Parcerias com grandes distribuidores,Não,
Set 2026,S3,Conceito: Confiança se constrói com qualidade,Não,
Set 2026,S3,19/09 · Webinar Elastovet [D-10] — Story: Faltam 10 dias — link na bio para se inscrever,Não,webinar
Set 2026,S4,ELASTOVET #5 — Reel: FAQ — O animal pode ir para casa?,Não,elastovet
Set 2026,S4,Bomba TCI: Precisão que o seu Pet merece,Sim,
Set 2026,S4,Antecipação: CBAV Salvador — data a confirmar,Não,
Set 2026,S4,22/09 · Webinar Elastovet [D-7] — Feed: Salve a data! 29/09 às 20h — Pós-operatório domiciliar com controle da dor 24h,Sim,webinar
Set 2026,S4,26/09 · Webinar Elastovet [D-3] — Feed: Inscrições abertas — faltam 3 dias. Link na bio.,Sim,webinar
Set 2026,S5,29/09 · Webinar Elastovet [D-0] — Feed + Story: Hoje às 20h — ao vivo! 🔴 link na bio,Sim,webinar
Set 2026,S5,30/09 · Webinar BSVET TCI [D-20] — Story: Webinar em 20 dias! Anestesia alvo-controlada — você está pronto para a revolução?,Não,webinar
Out 2026,S1,Dia do Vendedor (01/10): Homenagem ao time,Não,
Out 2026,S1,Dia Mundial dos Animais (04/10): Proteção,Não,
Out 2026,S1,03/10 · Webinar BSVET TCI [D-17] — Story: Salve a data! 20/10 às 20h — TCI: o futuro da rotina cirúrgica,Não,webinar
Out 2026,S2,07/10 · Webinar BSVET TCI [D-13] — Story: Você ainda faz cálculos na mão? Faltam 13 dias para mudar isso,Não,webinar
Out 2026,S2,Foco: Dia do Anestesista (16/10) — Bomba TCI,Sim,
Out 2026,S2,10/10 · Webinar BSVET TCI [D-10] — Story: Faltam 10 dias — link na bio para garantir sua vaga,Não,webinar
Out 2026,S2,Dia do Balconista (30/10): Parceiros comerciais,Não,
Out 2026,S3,Antecipação: Faltam ~27 dias para Feira PetNor 15–17/11,Sim,
Out 2026,S3,Insumos: Não aceite equipamentos sem registro,Sim,
Out 2026,S3,13/10 · Webinar BSVET TCI [D-7] — Feed: Salve a data! 20/10 às 20h — Anestesia alvo-controlada: você está pronto?,Sim,webinar
Out 2026,S3,17/10 · Webinar BSVET TCI [D-3] — Feed: Inscrições abertas — faltam 3 dias. Link na bio.,Sim,webinar
Out 2026,S4,Antecipação: Prepare-se para a BLACK FRIDAY,Sim,
Out 2026,S4,Bomba TCI: Upgrade técnico para sua clínica,Sim,
Out 2026,S4,20/10 · Webinar BSVET TCI [D-0] — Feed + Story: Hoje às 20h — ao vivo! 🔴 link na bio,Sim,webinar
Nov 2026,S1,Evento: Cobertura Feira PetNor 15–17/11,Sim,
Nov 2026,S1,Insumos: O diferencial da precisão Laslo,Não,
Nov 2026,S1,04/11 · Webinar BVVET [D-20] — Story: Webinar em 20 dias! Erros em bombas de infusão que colocam pacientes em risco,Não,webinar
Nov 2026,S1,07/11 · Webinar BVVET [D-17] — Story: Salve a data! 24/11 às 20h — erros comuns que você pode estar cometendo,Não,webinar
Nov 2026,S2,Black Friday: Foco em resultados e ROI,Sim,
Nov 2026,S2,Cobertura PETNOR,Não,
Nov 2026,S2,11/11 · Webinar BVVET [D-13] — Story: Seu paciente nefropata recebe hidratação com a precisão certa? Faltam 13 dias,Não,webinar
Nov 2026,S2,14/11 · Webinar BVVET [D-10] — Story: Faltam 10 dias — link na bio para se inscrever,Não,webinar
Nov 2026,S3,CAMPANHA: SEMANA BLACK FRIDAY LASLO,Sim,
Nov 2026,S3,Clube Laslo: Pontuação em dobro na Black,Sim,
Nov 2026,S3,17/11 · Webinar BVVET [D-7] — Feed: Salve a data! 24/11 às 20h — Erros comuns em bombas de infusão,Sim,webinar
Nov 2026,S3,21/11 · Webinar BVVET [D-3] — Feed: Inscrições abertas — faltam 3 dias. Link na bio.,Sim,webinar
Nov 2026,S4,Resultados: O sucesso da Black Friday Laslo,Não,
Nov 2026,S4,Insumos: Reposição de estoque pós-Black,Sim,
Nov 2026,S4,24/11 · Webinar BVVET [D-0] — Feed + Story: Hoje às 20h — ao vivo! 🔴 link na bio,Sim,webinar
Nov 2026,S4,25/11 · Webinar Pedestal Roama [D-20] — Story: Webinar em 20 dias! Centro cirúrgico organizado ou caos de fios?,Não,webinar
Nov 2026,S4,28/11 · Webinar Pedestal Roama [D-17] — Story: Salve a data! 15/12 às 20h — organização que salva vidas,Não,webinar
Dez 2026,S1,Natal: Mensagem institucional Laslo,Não,
Dez 2026,S1,Clube Laslo: Premiação final do ano,Não,
Dez 2026,S1,02/12 · Webinar Pedestal Roama [D-13] — Story: Fios espalhados no centro cirúrgico podem custar a vida do paciente,Não,webinar
Dez 2026,S1,05/12 · Webinar Pedestal Roama [D-10] — Story: Faltam 10 dias — link na bio para garantir sua vaga,Não,webinar
Dez 2026,S2,Insumos: Garantindo o cuidado nas festas,Sim,
Dez 2026,S2,08/12 · Webinar Pedestal Roama [D-7] — Feed: Salve a data! 15/12 às 20h — centro cirúrgico organizado salva vidas,Sim,webinar
Dez 2026,S2,12/12 · Webinar Pedestal Roama [D-3] — Feed: Inscrições abertas — faltam 3 dias. Link na bio.,Sim,webinar
Dez 2026,S3,Metas 2027: O nosso DNA continuará sendo VET,Não,
Dez 2026,S3,Natal: Mensagem institucional Laslo,Sim,
Dez 2026,S3,15/12 · Webinar Pedestal Roama [D-0] — Feed + Story: Hoje às 20h — ao vivo! 🔴 link na bio,Sim,webinar
Dez 2026,S4,Boas Festas: Encerramento do ano estratégico,Não,
Dez 2026,S4,Conceito: A Empresa que respeita o seu Pet,Não,
